time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
7152,162.805,170.29,2015232,281,123,0.9871394652873278,-0.0027145902304255287,0.032706875,1220,0.5389983654022217,0.19571533203125,3.1837365972460248,0.0003,0.2,-0.7458114924142137
7204,160.04813708,160.76,2031616,281,124,0.987056216225028,-0.003458226672228193,0.03446096,1230,0.34599703550338745,0.196490478515625,2.920074997760821,0.0003,0.2,-0.7514884398318827
7263,164.0075,150.48,2048000,281,125,0.987603634595871,-0.0018267373961862177,0.03489257,1240,0.29584378004074097,0.18323974609375,3.463111145538278,0.0003,0.2,-0.7583031152607873
7318,159.58127416,147.54,2064384,282,126,0.9886950831860304,-0.0024459494115944835,0.034908123,1250,0.697765052318573,0.188800048828125,3.4655806340626443,0.0003,0.2,-0.7188481419347227
7372,163.855,156.52,2080768,282,127,0.9879376608878374,-0.0025971973831474316,0.037413307,1260,0.3012610971927643,0.20040283203125,3.4090183516498653,0.0003,0.2,-0.7491119422251359
7495,162.5775,155.98,2097152,279,128,0.9868478327989578,-0.00044345604783302406,0.03653322,1270,0.6090810298919678,0.203460693359375,3.435180002404377,0.0003,0.2,-0.7684210801264271
7586,159.5775,158.42,2113536,278,129,0.9882636144757271,-0.0041036619966689615,0.036720067,1280,0.5048185586929321,0.1956298828125,3.385292293375824,0.0003,0.2,-0.7555727730737999
7641,158.8975,151.27,2129920,278,130,0.9867886863648891,-0.003006303160145762,0.040382735,1290,0.4733037054538727,0.2284912109375,3.542800603667274,0.0003,0.2,-0.7998579326551407
7698,156.7275,147.42,2146304,278,131,0.9849636126309633,-0.0026184007530900997,0.040393144,1300,0.3543315827846527,0.215740966796875,3.9218484240816904,0.0003,0.2,-0.7706241065869108
7752,151.93127416,143.19,2162688,278,132,0.9833952374756336,-0.003174951176333707,0.043313503,1310,0.6773288249969482,0.227984619140625,4.408985033351928,0.0003,0.2,-0.7980983990477398
7805,152.9425,150.92,2179072,279,133,0.9805247075855732,-0.0004691343288868666,0.04757101,1320,1.9302711486816406,0.224468994140625,5.055121083953418,0.0003,0.2,-0.7706857226323336
7867,159.60063707999998,149.97,2195456,279,134,0.9851637342944741,-0.005218117865297245,0.04519412,1330,0.6491097211837769,0.222772216796875,3.594542305741925,0.0003,0.2,-0.7681155579630286
7924,158.44,147.29,2211840,279,135,0.9840551298111677,-0.0008879193675966235,0.04087465,1340,0.8141883611679077,0.21646728515625,3.6059870169265196,0.0003,0.2,-0.7522855122340844
7980,156.7325,148.69,2228224,279,136,0.9859719648957253,-0.002926309033864527,0.040035687,1350,0.8794485330581665,0.206024169921875,3.7979148905491456,0.0003,0.2,-0.7090251790825277
8032,156.49063708,145.57,2244608,279,137,0.9848653292283416,-0.0003938879061024636,0.041456327,1360,0.605129063129425,0.231744384765625,3.68544909307966,0.0003,0.2,-0.7556330516934395
8080,162.88063707999999,164.11,2260992,279,138,0.9837266858667135,-0.0009501082780843717,0.04345354,1370,0.9989238977432251,0.22242431640625,4.4378328753635286,0.0003,0.2,-0.7379959502955898
8133,165.055,162.45,2277376,279,139,0.9843306560069323,0.00548419089809613,0.04302318,1380,0.4809368848800659,0.222125244140625,4.444527919194661,0.0003,0.2,-0.7405598220881074
8183,162.38,154.54,2293760,280,140,0.987793524749577,-0.00030406395944737596,0.034965165,1390,0.502613365650177,0.205291748046875,3.3343986763851716,0.0003,0.2,-0.750686900364235
8235,166.64284609999999,162.59,2310144,280,141,0.9874313063919544,-0.002352986401092494,0.03832525,1400,0.6403767466545105,0.198602294921875,3.372789481736254,0.0003,0.2,-0.7527220862219111
8335,166.465,159.85,2326528,279,142,0.9861112851649523,-0.002368445723914192,0.039094567,1410,0.43726545572280884,0.20113525390625,3.505401450698264,0.0003,0.2,-0.7218469789950177
8433,162.32,155.95,2342912,277,143,0.9859822224825621,-0.0022017017268808558,0.03801167,1420,0.47263187170028687,0.191375732421875,3.989551552128978,0.0003,0.2,-0.7314801624277607
8530,162.24098318,159.93,2359296,276,144,0.9861465180292726,-0.0030183468175891902,0.03631237,1430,0.5718683004379272,0.19888916015625,3.3348824934102597,0.0003,0.2,-0.7379084843909368
8620,161.13313707999998,159.47,2375680,275,145,0.982752813026309,-0.0006860096949822036,0.040167063,1440,0.8896176218986511,0.230450439453125,4.180396322172601,0.0003,0.2,-0.7342042579315603
8721,161.7075,161.76,2392064,274,146,0.9834671765565872,-0.00397511563860462,0.034960076,1450,0.8524295687675476,0.204010009765625,4.109637584246229,0.0003,0.2,-0.7442867025732994
