time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates
16985,2501.03,-74.95020000000001,299,311,5095424,0.5088411867618561,0.2,0.024309855,-0.007356443344360741,2.2790024280548096,0.0003,-0.4782688802923076,0.114361572265625,1.4602822694942006,3100
17048,2519.9,-75.0888,299,312,5111808,0.749346911907196,0.2,0.0231913,-0.00393868940500397,0.17127569019794464,0.0003,-0.5002348106470891,0.108343505859375,1.8258990191985505,3110
17109,2620.37,-76.0935,299,313,5128192,0.7584873288869858,0.2,0.083981596,-0.013540771693078569,0.018250595778226852,0.0003,-0.5489018559223041,0.25284423828125,0.23567613206978422,3120
17162,2840.27,-78.2925,299,314,5144576,0.6478261053562164,0.2,0.042161305,-0.012959909916207834,0.06788372993469238,0.0003,-0.48570995453046634,0.149688720703125,0.6830601053210558,3130
17209,2897.12,-78.861,299,315,5160960,0.6089098155498505,0.2,0.08917405,-0.015800386905902998,-0.017691265791654587,0.0003,-0.4396351971256081,0.281378173828125,0.7962088738211606,3140
17264,2816.21,-78.05189999999999,299,316,5177344,0.46109992265701294,0.2,0.031689815,-0.00854095033428166,0.11441554129123688,0.0003,-0.409146584692644,0.153948974609375,1.39069289387553,3150
17322,2821.48,-78.1046,299,317,5193728,0.4560633897781372,0.2,0.044946637,-0.010016669855394867,0.528865396976471,0.0003,-0.355072630464565,0.125909423828125,1.3672672563734523,3160
17380,3189.33,-81.78309999999999,299,318,5210112,0.47658318281173706,0.2,0.064483665,-0.023899601581979367,0.04753798991441727,0.0003,-0.39144941251142884,0.379510498046875,0.9950741387513518,3170
17434,2845.53,-78.3451,299,319,5226496,0.10507434606552124,0.2,0.05575744,-0.005270426494462299,9.397042274475098,0.0003,-0.3584104236389976,0.201348876953125,1.6300523155747215,3180
17490,2747.81,-77.36789999999999,299,320,5242880,0.2036064863204956,0.2,0.031211581,-0.008387722647239571,2.6746373176574707,0.0003,-0.28181860451586543,0.10953369140625,2.29559732386806,3190
17543,2791.26,-77.75229999999999,299,321,5259264,0.35448968410491943,0.2,0.069239065,-0.004783795294133597,0.06301778554916382,0.0003,-0.320908716271515,0.2437255859375,0.5526129619154745,3200
17596,2737.37,-77.21340000000001,299,322,5275648,0.2052505612373352,0.2,0.020050077,-0.0037600344698148548,1.2031993865966797,0.0003,-0.3011210712546017,0.080352783203125,4.125534351944225,3210
17649,2805.56,-77.89529999999999,299,323,5292032,0.75954270362854,0.2,0.018450309,-0.006264428356644203,0.8868082761764526,0.0003,-0.24452342456788756,0.079998779296875,2.343196383313625,3220
17704,3013.71,-79.9768,299,324,5308416,0.8402725458145142,0.2,0.040270045,-0.010698514767136657,0.33163172006607056,0.0003,-0.3087048604094889,0.116357421875,0.7123055397867575,3230
17760,3002.36,-79.8633,299,325,5324800,0.5495322346687317,0.2,0.021553602,-0.007047639067968703,1.9171277284622192,0.0003,-0.2508427290827967,0.08212890625,2.474319848419691,3240
17813,3084.3,-80.6827,299,326,5341184,0.4166247248649597,0.2,0.05384229,-0.011493626560331904,0.6327118277549744,0.0003,-0.30084585219738075,0.135845947265625,2.55113447642143,3250
17866,2884.97,-78.6894,299,327,5357568,0.3982001543045044,0.2,0.049219742,-0.013266931636280788,0.26662707328796387,0.0003,-0.25890089268505107,0.123468017578125,2.230281428367016,3260
17921,2892.15,-78.7612,299,328,5373952,0.7884904593229294,0.2,0.025681978,-0.007395901342351863,0.1898704469203949,0.0003,-0.30113781839609144,0.076910400390625,1.9552112714358372,3270
